CellCDmT,iTALK,CellPhoneDB,NATMI,CellChat
TCN2_CNR1,FGF9_FGFR3,EPHB6_EFNB2,APP_GPC1,LAMB3_SV2B
LGALS1_ITGB1,FGF9_FGFR4,RSPO3_LGR6,APP_LRP1,LAMC1_SV2B
LGALS1_PTPRC,FIGF_FLT1,KLRG2_WNT11,APP_NCSTN,LAMC2_SV2B
NID2_COL13A1,FIGF_FLT4,RSPO1_LGR6,APP_TNFRSF21,LAMA1_SV2C
GZMB_CHRM3,FIGF_ITGA2,EPO_EFNB2,AREG_EGFR,LAMA2_SV2C
GZMB_IGF2R,FIGF_ITGA4,BTC_ERBB4,AREG_ERBB3,LAMA3_SV2C
RSPO4_LGR6,FIGF_ITGA5,GPR37_FAM19A5,ARF1_CHRM3,LAMA4_SV2C
RSPO4_LGR4,FIGF_ITGA9,PENK_OPRM1,ARF1_INSR,LAMA5_SV2C
RSPO4_LGR5,FIGF_ITGB1,PENK_OPRK1,ARF1_PLD2,LAMB3_SV2C
OXT_AVPR2,FIGF_KDR,CCL24_CCR3,ARTN_GFRA1,LAMC1_SV2C
OXT_AVPR1B,FIGF_NRP2,CEACAM6_CEACAM6,ARTN_GFRA3,LAMC2_SV2C
OXT_AVPR1A,HBEGF_CD44,GPR1_FAM19A1,ARTN_RET,THBS3_CD36
OXT_OXTR,HBEGF_CD82,DLL3_NOTCH3,ASIP_ATRN,THBS4_CD36
F9_LRP1,HBEGF_CD9,CEACAM5_CEACAM6,ASIP_MC1R,COMP_CD36
PCSK1N_GPR171,HBEGF_EGFR,PLXNB2_SEMA4G,ASIP_MC2R,AGRN_DAG1
TIMP1_FGFR2,HBEGF_ERBB2,EPHA1_EFNA4,ASIP_MC3R,HSPG2_DAG1
TIMP1_CD63,HBEGF_ERBB4,LRPAP1_SORT1,ASIP_MC4R,LAMA1_DAG1
MMP2_FGFR1,HBEGF_PRLR,COPA_SORT1,ASIP_MC5R,LAMA2_DAG1
MMP2_CCR2,HGF_CD44,EPHA1_EFNA5,AZGP1_ITGAV,LAMA3_DAG1
MMP2_SDC2,HGF_MET,EPHA4_EFNB1,B2M_CD1A,LAMA4_DAG1
CCL22_CCR4,HGF_SDC1,NOTCH4_DLL4,B2M_CD1B,LAMA5_DAG1
CCL22_DPP4,HGF_SDC2,NOTCH2_CNTN1,B2M_HLA-F,LAMC1_DAG1
CCL22_ACKR2,HGF_ST14,WISP3_SORL1,B2M_LILRB1,LAMC2_DAG1
CCL17_CCR4,IGF1_IGF1R,NOTCH4_DLL3,BAG6_NCR3,CADM1_CADM1
CCL17_ACKR2,IGF1_INSR,GALR2_GAL,BDNF_NGFR,CD226_PVR
CCL17_CCR8,IGF2_IGF1R,PDCD1_FAM3C,BDNF_NTRK2,FCER2_CR2
